DTCCode,Description
C1183,Park Lamp Flash Relay Circuit Short to Battery
C1184,ABS System Is Not Operational
C1185,ABS Power Relay Output Circuit Failure
C1186,ABS Power Relay Output Open Circuit
C1187,Brake Fluid Level Sensor Input Open Circuit
C1188,Brake Fluid Level Sensor Input Short Circuit To Battery
C1189,Brake Fluid Level Sensor Input Short Circuit To Ground
C1190,Speed Wheel Sensor LF Input Short Circuit To Battery
C1191,Speed Wheel Sensor LF Input Short Circuit To Ground
C1192,Speed Wheel Sensor RF Input Short Circuit To Battery
C1193,Speed Wheel Sensor RF Input Short Circuit To Ground
C1194,ABS Outlet Valve Coil LF Circuit Failure
C1195,ABS Outlet Valve Coil LF Circuit Open
C1196,ABS Outlet Valve Coil LF Circuit Short To Battery
C1197,ABS Outlet Valve Coil LF Circuit Short To Ground
C1198,ABS Inlet Valve Coil LF Circuit Failure
C1199,ABS Inlet Valve Coil LF Circuit Open
C1200,ABS Inlet Valve Coil LF Circuit Short To Battery
C1201,ABS Inlet Valve Coil LF Circuit Short To Ground
C1202,ABS Outlet Valve Coil Rear Circuit Failure
C1203,ABS Outlet Valve Coil Rear Circuit Open
C1204,ABS Outlet Valve Coil Rear Circuit Short To Battery
C1205,ABS Outlet Valve Coil Rear Circuit Short To Ground
C1206,ABS Inlet Valve Coil Rear Circuit Failure
C1207,ABS Inlet Valve Coil Rear Circuit Open
C1208,ABS Inlet Valve Coil Rear Circuit Short To Battery
C1209,ABS Inlet Valve Coil Rear Circuit Short To Ground
C1210,ABS Outlet Valve Coil RF Circuit Failure
C1211,ABS Outlet Valve Coil RF Circuit Open
C1212,ABS Outlet Valve Coil RF Circuit Short To Battery
C1213,ABS Outlet Valve Coil RF Circuit Short To Ground
C1214,ABS Inlet Valve Coil RF Circuit Failure
C1215,ABS Inlet Valve Coil RF Circuit Open
C1216,ABS Inlet Valve Coil RF Circuit Short To Battery
C1217,ABS Inlet Valve Coil RF Circuit Short To Ground
C1218,Lamp ABS Warning Output Circuit Failure
C1219,Lamp ABS Warning Output Circuit Open
C1220,Lamp ABS Warning Output Circuit Short To Battery
C1221,Lamp ABS Warning Output Circuit Short To Ground
C1222,Speed Wheel Mismatch
C1223,Lamp Brake Warning Output Circuit Failure
C1224,Lamp Brake Warning Output Circuit Open
C1225,Lamp Brake Warning Output Circuit Short To Battery
C1226,Lamp Brake Warning Output Circuit Short To Ground
C1227,Speed Wheel Sensor LR Input Short Circuit To Battery
C1228,Speed Wheel Sensor LR Input Short Circuit To Ground
C1229,Speed Wheel Sensor Rear Center Coherency Fault
C1230,Speed Wheel Sensor Rear Center Input Circuit Failure
C1231,Speed Wheel Sensor Rear Center Circuit Open
C1232,Speed Wheel Sensor Rear Center Input Short Circuit To Battery
C1233,Speed Wheel LF Input Signal Missing
C1234,Speed Wheel RF Input Signal Missing
C1235,Speed Wheel RR Input Signal Missing
C1236,Speed Wheel LR Input Signal Missing
C1237,Speed Wheel Rear Input Signal Missing
C1238,ABS Hydraulic Pressure Differential Switch Input Circuit Failure
C1239,ABS Hydraulic Pressure Differential Switch Input Open Circuit
C1240,ABS Hydraulic Pressure Differential Switch Input Short Circuit To Battery
C1241,ABS Hydraulic Pressure Differential Switch Input Short Circuit To Ground
C1242,ABS Outlet Valve Coil LR Circuit Failure
C1243,ABS Outlet Valve Coil LR Circuit Open
C1244,ABS Outlet Valve Coil LR Circuit Short To Battery
C1245,ABS Outlet Valve Coil LR Circuit Short To Ground
C1246,ABS Outlet Valve Coil RR Circuit Failure
C1247,ABS Outlet Valve Coil RR Circuit Open
C1248,ABS Outlet Valve Coil RR Circuit Short To Battery
C1249,ABS Outlet Valve Coil RR Circuit Short To Ground
C1250,ABS Inlet Valve Coil LR Circuit Failure
C1251,ABS Inlet Valve Coil LR Circuit Open
C1252,ABS Inlet Valve Coil LR Circuit Short To Battery
C1253,ABS Inlet Valve Coil LR Circuit Short To Ground
C1254,ABS Inlet Valve Coil RR Circuit Failure
C1255,ABS Inlet Valve Coil RR Circuit Open
C1256,ABS Inlet Valve Coil RR Circuit Short To Battery
C1257,ABS Inlet Valve Coil RR Circuit Short To Ground
C1258,Speed Wheel LF Comparison Failure
C1259,Speed Wheel RF Comparison Failure
C1260,Speed Wheel RR Comparison Failure
C1261,Speed Wheel LR Comparison Failure
C1262,Lamp Warning Relay Circuit Failure
C1263,Lamp Warning Relay Circuit Open
C1264,Lamp Warning Relay Circuit Short To Battery
C1265,Lamp Warning Relay Circuit Short To Ground
C1266,ABS Valve Power Relay Circuit Failure
C1267,ABS Functions Temporarily Disabled
C1268,Motor Relay # 1 Circuit Failure
C1269,Motor Relay # 1 Circuit Short to Battery
C1270,Motor # 1 Input Circuit Failure
C1271,Motor # 1 Input Circuit Short to Gnd
C1272,Motor # 2 Input Circuit Failure
C1273,Motor # 2 Input Circuit Short to Vbat
C1274,Solenoid Relay # 1 Circuit Failure
C1275,Solenoid Relay # 1 Circuit Short to Vbatt
C1276,Park Brake Actuator Assembly Switch Applied Circuit Short to Gnd
C1277,STEERING Wheel Angle 1and 2 Circuit Failure
C1278,STEERING Wheel Angle 1and 2 Signal Faulted
C1279,Yaw Rate Sensor circuit Failure
C1280,Yaw Rate Sensor Signal Fault
C1281,Lateral Accelerometer circuit Failure
C1282,Lateral Accelerometer Signal Fault
C1283,Switch Test Signal Failure
C1284,Oil Pressure Switch Failure
C1285,Booster Solenoid circuit Failure
C1286,Booster Mechanical Failure
C1287,Booster Pedal Force switch circuit Failure
C1288,Pressure Transducer Main / Primary Input Circuit Failure
C1289,Pressure Transducer Redundant / Secondary Input Circuit Failure
C1400,Traction Control Valve RF Circuit Failure
C1401,Traction Control Valve RF Circuit Open
C1402,Traction Control Valve RF Circuit Short To Ground
C1403,Traction Control Valve RF Circuit Short To Battery
C1404,Traction Control Valve Rear Circuit Failure
C1405,Traction Control Valve Rear Circuit Open
C1406,Traction Control Valve Rear Circuit Short To Ground
C1407,Traction Control Valve Rear Circuit Short To Battery
C1410,Traction Control Valve LF Circuit Failure
C1411,Traction Control Valve LF Circuit Open
C1412,Traction Control Valve LF Circuit Short To Ground
C1413,Traction Control Valve LF Circuit Short To Battery
C1414,Incorrect Module Design Level
C1415,Incorrect Module Configuration
C1416,Damper RF Circuit Short To Battery
C1417,Damper RF Circuit Short to Ground
C1418,Damper RF Circuit Failure
C1419,Damper RF Circuit Open
C1420,Hydraulic Fluid Pressure/ Flow Circuit Short to Vbatt
C1421,Damper LF Circuit Short To Battery
C1422,Damper LF Circuit Short to Ground
C1423,Damper LF Circuit Failure
C1424,Damper LF Circuit Open
C1425,Damper RR Circuit Short to Ground
C1426,Damper RR Circuit Short To Battery
C1427,Damper RR Circuit Open
C1428,Damper RR Circuit Failure
C1429,Input-shaft-speed input circuit failure
C1430,Damper LR Circuit Open
C1431,Damper LR Circuit Short To Battery
C1432,Damper LR Circuit Short to Ground
C1433,Damper LR Circuit Failure
C1435,Accelerometer Rear Circuit Failure
C1436,Accelerometer Rear Circuit Signal Is Not Sensed
C1437,Accelerometer Rear Circuit Short To Ground
C1438,Accelerometer Rear Circuit Short To Battery
C1439,Vehicle Acceleration EEC-IV Circuit Failure
C1440,Pressure Transducer Main / Primary signal Faulted
C1441,Steering Phase A Circuit Signal Is Not Sensed
C1442,Steering Phase B Circuit Signal Is Not Sensed
C1443,Steering Phase A Circuit Short To Ground
C1444,Steering Phase B Circuit Short To Ground
C1445,Speed Vehicle Signal Circuit Failure
C1446,Brake Switch Circuit Failure
C1447,Traction Control Module Request Circuit Failure
C1448,Lamp Adaptive Damping Warning Circuit Failure
C1449,Traction Control Motor Coherency Fault
C1450,Traction Control Motor Circuit Failure
C1451,Traction Control Motor Circuit Open
C1452,Traction Control Motor Circuit Short to Battery
C1453,Traction Control Motor Circuit Short to Ground
C1454,Front Lateral Accelerometer Circuit Failure
C1455,Accelerometer Front Circuit Failure
C1456,Accelerometer Front Circuit Is Not Sensed
C1457,Accelerometer Front Circuit Short To Ground
C1458,Accelerometer Front Circuit Short To Battery
C1459,Adaptive Mode Switch Circuit Failure
C1460,Vehicle Accelerometer Power Circuit Failure
C1461,Vehicle Accelerometer Power Circuit Short to Battery
C1462,Left Front Vertical Accelerometer Circuit Failure
C1463,Right Front Vertical Accelerometer Circuit Failure
C1464,Pressure Transducer Redundant / Secondary Signal Faulted
C1465,Damper High Side Front Circuit Short To Battery
C1466,Damper Circuit Failure
C1467,Damper High Side Rear Circuit Short To Battery
C1468,Damper Low Side Front Circuit Failure
C1469,Damper Low Side Rear Circuit Failure
C1495,Traction Control Motor Potentiometer Circuit Failure
C1496,Traction Control Motor Potentiometer Circuit Open
C1497,Traction Control Motor Potentiometer Circuit Short to Battery
C1498,Traction Control Motor Potentiometer Circuit Short to Ground
C1499,"Transfer Case Contact Plate ""A"" Encoder Circuit Failure"
C1500,"Transfer Case Contact Plate ""B"" Encoder Circuit Failure"
C1501,"Transfer Case Contact Plate ""C"" Encoder Circuit Failure"
C1502,"Transfer Case Contact Plate ""D"" Encoder Circuit Failure"
C1503,Dynamic Stability Control Left Front Valve Malfunction
C1504,Dynamic Stability Control Right Front Valve Malfunction
C1505,Dynamic Stability Control Left Rear Valve Malfunction
C1506,Dynamic Stability Control Right Rear Valve Malfunction
C1507,Traction Control of Brake Exceeds Time-Out
C1508,Traction Control of Engine Exceeds Time-Out
C1510,Right Front Wheel Pressure Reduction Performance Problem
C1511,Left Front Wheel Pressure Reduction Performance Problem
C1512,Right Rear Wheel Pressure Reduction Performance Problem
C1513,Left rear Wheel Pressure Reduction Performance Problem
C1699,Left Rear Sensor Circuit Short to Vbat
C1700,Left Rear Sensor Circuit Failure
C1701,Left Rear Sensor Circuit Fault
C1702,RightRear Sensor Circuit Short to Vbat
C1703,Right Rear Sensor Circuit Failure
C1704,Right Rear Sensor Circuit Fault
C1705,Left Rear Center Sensor Circuit Short to Vbat
C1706,Left Rear Center Sensor Circuit Failure
C1707,Left Rear Center Sensor Circuit Fault
C1708,Right Rear Center Sensor Circuit Short to Vbat
C1709,Right Rear Center Sensor Circuit Failure
C1710,Right Rear Center Sensor Circuit Fault
C1711,Left Front Sensor Circuit Short to Vbat
C1712,Left Front Sensor Circuit Failure
C1713,Left Front Sensor Circuit Fault
C1714,Right Front Sensor Circuit Short to Vbat
C1715,Right Front Sensor Circuit Failure
C1716,Right Front Sensor Circuit Fault
C1717,Left Front Center Sensor Circuit Short to Vbat
C1718,Left Front Center Sensor Circuit Failure
C1719,Left Front Center Sensor Circuit Fault
C1721,Air Suspension Height Sensor Power Circuit Open
C1722,Air Suspension Height Sensor Power Circuit Short To Battery
C1723,Air Suspension Height Sensor Power Circuit Short To Ground
C1724,Air Suspension Height Sensor Power Circuit Failure
C1725,Air Suspension Front Pneumatic Failure
C1726,Air Suspension Rear Pneumatic Failure
C1727,Air Suspension Reservoir Pneumatic Failure
C1728,Transfer Case unable to transition between 2H and 4H
C1729,Transfer Case unable to transition between 4H and 4L
C1730,Reference Voltage Out of Range (+5 v)
C1731,Air Suspension LF Corner Up Timeout
C1732,Air Suspension LF Corner Down Timeout
C1733,Air Suspension RF Corner Up Timeout
C1734,Air Suspension RF Corner Down Timeout
C1735,Air Suspension LR Corner Up Timeout
C1736,Air Suspension LR Corner Down Timeout
C1737,Air Suspension RR Corner Up Timeout
C1738,Air Suspension RR Corner Down Timeout
C1739,Right Front Center Sensor Circuit Short to Vbat
C1740,Right Front Center Sensor Circuit Failure
C1741,Right Front Center Sensor Circuit Fault
C1742,Rear Sounder Circuit Failure
C1743,Rear Sounder Circuit Short to Vbatt
C1744,Front Sounder Circuit Failure
C1745,Front Sounder Circuit Short to Vbatt
C1748,Switch input Circuit Short to Gnd
C1749,Trailer Input Circuit Failure
C1750,Accelerator Position Sensor Out of Range
C1751,Vehicle Speed Sensor # 1 Output Circuit Short to Vbatt
C1752,Vehicle Speed Sensor # 1 Output Circuit Short to Gnd
C1753,Hydraulic Clutch Actuator Valve Signal Fault
C1754,Hydraulic Clutch Actuator Valve Circuit Failure
C1755,Power Limit Shutdown Fault
C1756,Air Suspension Front Height Sensor High (SE) Signal Circuit Failure
C1757,Air Suspension Front Height Sensor High (SE) Signal Circuit Open
C1758,Air Suspension Front Height Sensor High (SE) Signal Circuit Short To Battery
C1759,Air Suspension Front Height Sensor High (SE) Signal Circuit Short To Ground
C1760,Air Suspension Rear Height Sensor High (SE) Signal Circuit Failure
C1761,Air Suspension Rear Height Sensor High (SE) Signal Circuit Open
C1762,Air Suspension Rear Height Sensor High (SE) Signal Circuit Short To Battery
C1763,Air Suspension Rear Height Sensor High (SE) Signal Circuit Short To Ground
C1765,Air Suspension Rear Height Sensor Low Signal Circuit Failure
C1766,Air Suspension Rear Height Sensor Low Signal Circuit Open
C1767,Air Suspension Rear Height Sensor Low Signal Circuit Short To Battery
C1768,Air Suspension Rear Height Sensor Low Signal Circuit Short To Ground
C1770,Air Suspension Vent Solenoid Output Circuit Failure
C1771,Air Suspension Vent Solenoid Output Circuit Open
C1772,Air Suspension Vent Solenoid Output Circuit Short To Battery
C1773,Air Suspension Vent Solenoid Output Circuit Short To Ground
C1774,Coolant Temp Out of Range
C1775,DC-DC Converter Failure
C1776,Heater System Failure
C1777,Vacuum Pressure Circuit Failure
C1778,Power Steering Failure
C1779,Blower Switch Failure
C1780,Temperature Select Failure
C1781,Engine Coolant Temperature Signal Missing/Fault
C1790,Air Suspension LR Air Spring/Shock Solenoid Output Circuit Failure
C1791,Air Suspension LR Air Spring/Shock Solenoid Output Circuit Open
C1792,Air Suspension LR Air Spring/Shock Solenoid Output Circuit Short To Battery
C1793,Air Suspension LR Air Spring/Shock Solenoid Output Circuit Short To Ground
C1795,Air Suspension RR Air Spring/Shock Solenoid Output Circuit Failure
C1796,Air Suspension RR Air Spring/Shock Solenoid Output Circuit Open
C1797,Air Suspension RR Air Spring/Shock Solenoid Output Circuit Short To Battery
C1798,Air Suspension RR Air Spring/Shock Solenoid Output Circuit Short To Ground
C1800,Air Suspension Reservoir Solenoid Circuit Failure
C1805,Mismatched PCM and/or ABS-TC Module
C1813,Air Suspension LR Vent Request Exceeded Max Timing
C1814,Air Suspension RR Vent Request Exceeded Max Timing
C1818,Air Suspension LR Air Compress Request Exceeded Max Timing
C1819,Air Suspension RR Air Compress Request Exceeded Max Timing
C1820,Air Suspension RF Air Compress Request Exceeded Max Timing
C1830,Air Suspension Compressor Relay Circuit Failure
C1831,Air Suspension Compressor Relay Circuit Open
C1832,Air Suspension Compressor Relay Circuit Short To Battery
C1833,Air Suspension Compressor Relay Circuit Short To Ground
C1834,Gauge Drive Current Fault
C1835,Current Sense Circuit Failure
C1836,Battery Temp out of Range
C1837,Battery Heater Circuit Failure
C1838,Charging System Fault
C1839,Leakage Fault
C1840,Air Suspension Disable Switch Circuit Failure
C1841,Air Suspension Disable Switch Circuit Open
C1842,Air Suspension Disable Switch Circuit Short To Battery
C1843,Air Suspension Disable Switch Circuit Short To Ground
C1844,Air Suspension Secondary Front Inflator Solenoid Output Circuit Failure
C1845,Air Suspension Front Inflator Solenoid Output Circuit Failure
C1846,Air Suspension Front Inflator Solenoid Output Circuit Open
C1847,Air Suspension Front Inflator Solenoid Output Circuit Short To Battery
C1848,Air Suspension Front Inflator Solenoid Output Circuit Short To Ground
C1849,Master Cylinder Pressure Out of Range
C1850,Air Suspension Warning Lamp Circuit Failure
C1851,Air Suspension Warning Lamp Circuit Open
C1852,Air Suspension Warning Lamp Circuit Short To Battery
C1853,Air Suspension Warning Lamp Circuit Short To Ground
C1854,Motor Temperature Out of Range
C1855,Acceleration Position Sensor Conflict
C1856,Traction Motor Encoder circuit Failure
C1859,PRNDL Input #2 Circuit Failure
C1860,PRNDL Input #3 Circuit Failure
C1861,PRNDL Input #4 Circuit Failure
C1862,Contactor Circuit Failure
C1863,External Charging Fault
C1864,Battery Module Fault
C1865,Air Suspension Rear Inflator Solenoid Output Circuit Failure
C1866,Air Suspension Rear Inflator Solenoid Output Circuit Open
C1867,Air Suspension Rear Inflator Solenoid Output Circuit Short To Battery
C1868,Air Suspension Rear Inflator Solenoid Output Circuit Short To Ground
